,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,15,15,15,1,4,11,0,2
1,0,4,1,5,0,10,13,5,-5,15,14,5,2
2,0,4,-5,4,4,8,11,0,-9,25,10,9,2
3,0,11,-9,11,9,14,11,2,-12,24,5,12,2
4,0,9,-12,9,9,9,10,0,-12,15,10,12,2
5,5,9,-12,14,12,3,8,2,-1,15,10,1,2
6,1,3,-1,4,1,13,9,3,-10,20,10,10,2
7,2,8,-10,10,10,2,7,0,-2,20,5,2,2
8,2,8,-2,10,2,13,8,8,-5,15,4,5,2
9,2,0,-5,2,2,11,8,0,-14,9,10,14,2
10,9,0,-14,9,9,3,6,0,-8,14,12,8,2
11,6,4,-8,10,8,4,5,2,-2,22,8,2,2
12,0,10,-2,10,2,6,5,6,2,20,9,0,2
13,0,12,2,14,0,11,6,11,3,17,5,0,2
14,0,8,3,11,0,15,8,11,-4,14,17,4,2
15,0,9,-4,9,4,12,9,5,-7,22,9,7,2
16,0,5,-7,5,5,15,10,0,-17,26,9,17,2
17,0,13,-17,13,13,4,8,0,-8,18,10,8,2
18,4,6,-8,10,8,12,9,2,-10,19,5,10,2
19,3,8,-10,11,10,3,7,1,-2,15,7,2,2
20,1,10,-2,11,2,13,8,9,-4,12,10,4,2
21,0,5,-4,5,4,10,8,1,-9,17,13,9,2
22,0,7,-9,7,7,15,9,0,-17,23,9,17,2
23,0,9,-17,9,9,15,10,0,-23,22,10,23,2
24,1,10,-23,11,11,3,8,0,-15,19,9,15,2
25,3,8,-15,11,11,11,8,0,-15,19,10,15,2
26,1,10,-15,11,11,1,6,0,-5,19,5,5,2
27,0,9,-5,9,5,13,7,4,-9,15,14,9,2
28,0,8,-9,8,8,10,7,0,-11,19,10,11,2
29,2,4,-11,6,6,10,7,0,-15,24,10,15,2
30,1,10,-15,11,11,0,5,0,-4,20,6,4,2
31,4,7,-4,11,4,0,3,0,7,16,5,0,2
32,3,6,7,16,0,8,4,8,8,11,6,0,2
33,4,6,8,18,0,0,3,0,18,11,2,0,2
34,0,5,18,23,0,14,5,14,9,8,12,0,2
